Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,22M,31M,28M,35M,41M,52M,59M,64M,60M,80M,137M,176M,194M,180M,163M,131M,344M,406M,469M,527M,641M,762M,919M,1.08B,1.16B,213M
China,,,9.22B,9.94B,11.6B,14.2B,15B,16.8B,16.7B,21.4B,,,,,,,,,,,,,,,,
"Hong Kong, China",10.5B,11.5B,12.7B,13.5B,13.1B,12.5B,12.3B,12.4B,11.4B,13.3B,13.3B,14B,15B,16.1B,15.5B,17.4B,19B,20.1B,21.2B,22B,23.1B,24.1B,25.4B,26.5B,,
Indonesia,,,,,,,,5.04B,4.43B,4.57B,4.74B,5.46B,6.58B,8.8B,6.91B,8.43B,8.65B,9.05B,10.3B,10.3B,9.8B,9.93B,10.9B,13.2B,14.4B,1.98B
Japan,47B,46.8B,41.4B,35.3B,41.2B,42.6B,35.5B,35B,36.5B,48.2B,48.1B,37.7B,37.3B,39B,34.8B,39.3B,39.8B,41B,32.2B,28.6B,23.3B,26B,25.8B,28.1B,29.1B,6.74B
Laos,34M,28M,27M,29M,17M,,4.1M,4.3M,5M,8M,10M,15M,14M,51M,91M,215M,248M,614M,907M,1.05B,1B,912M,930M,1B,1.03B,260M
"Macao, China",,,,,,,,512M,471M,529M,475M,506M,608M,695M,714M,883M,1.06B,1.16B,1.24B,1.39B,1.44B,1.5B,1.7B,1.94B,2.03B,886M
Malaysia,2.72B,3.03B,3.16B,2.16B,2.38B,2.54B,3.39B,3.33B,3.4B,3.82B,4.34B,5.08B,6.6B,7.72B,7.2B,9.26B,11.1B,13.2B,13.4B,13.9B,11.6B,11.3B,12.1B,13.2B,13.7B,5.21B
Mongolia,22M,37M,19M,50M,45M,54M,59M,125M,144M,207M,142M,196M,218M,249M,242M,319M,460M,558M,643M,529M,473M,536M,618M,822M,1.04B,573M
Myanmar,,,38M,31M,26M,30M,32M,34M,36M,32M,34M,40M,39M,49.7M,,,132M,265M,131M,119M,146M,201M,136M,118M,214M,
Philippines,551M,1.29B,1.97B,2.02B,1.74B,1.84B,1.92B,1.87B,1.65B,1.53B,3.29B,3.08B,3.35B,4.29B,4.06B,5.96B,6.05B,7.14B,8.4B,11.1B,11.9B,11.7B,12.4B,12.5B,12.9B,4.87B
Singapore,4.66B,5.01B,4.36B,3.22B,4.22B,4.54B,6.6B,8.21B,8.38B,9.29B,10.1B,11.3B,13.5B,16.3B,15.7B,18.7B,21.4B,23.1B,24.4B,25.5B,23.7B,24B,24.6B,25.3B,,
South Korea,6.95B,8.29B,8.04B,4.03B,5.55B,7.95B,8.35B,11.4B,11.1B,13.5B,16.9B,20.9B,24.4B,21.4B,16.4B,20.8B,22.2B,22.9B,24.5B,26.1B,28B,29.8B,34.5B,38B,35.3B,16.7B
Thailand,4.79B,4.74B,3.75B,2.25B,2.87B,3.22B,3.33B,3.89B,3.54B,5.34B,4.92B,6.18B,6.89B,6.71B,5.74B,7.16B,7.53B,8.1B,8.24B,8.82B,9.54B,11.3B,12.7B,14.4B,15B,3.68B
Vietnam,,,,,,,,,,,900M,1.05B,1.22B,1.3B,1.1B,1.47B,1.71B,1.86B,2.05B,2.65B,3.6B,4.5B,5.04B,5.91B,6.46B,4.36B